cancelacion,longitud_cuenta,plan_internacional,plan_buzon,mensajes_buzon,total_minutos_dia,total_llamadas_dia,total_costo_dia,total_minutos_tarde,total_llamadas_tarde,total_costo_tarde,total_minutos_noche,total_llamadas_noche,total_costo_noche,total_minutos_internacionales,total_llamadas_internacionales,total_costo_internacional,llamadas_servicio_cliente,total_minutos_dia_log,total_llamadas_dia_log,total_costo_dia_log,total_minutos_noche_log,total_llamadas_noche_log,total_costo_noche_log,total_minutos_internacionales_log,total_llamadas_internacionales_log,total_costo_internacional_log
No,75,no,no,0,0.6618730270080673,0.548076923076923,0.6618526923870436,201.5,107,17.13,0.6712538226299692,0.48076923076923084,0.6711979609175871,0.5,0.625,0.4986376021798365,1,5.425390449111513,4.663439094112067,3.6747805297344347,5.510197725583535,4.59511985013459,2.4915511925066687,2.424802725718295,1.791759469228055,1.3297240096314962
No,172,no,no,0,0.6124166958961768,0.701923076923077,0.6123375283680628,31.2,115,2.65,0.8512996941896024,0.28846153846153844,0.8513169073916736,0.6691176470588234,0.5,0.667574931880109,3,5.3612921657094255,4.804021044733257,3.6119984097779785,5.684599655239428,4.3694478524670215,2.653241964607215,2.6100697927420065,2.3978952727983707,1.4816045409242156
Yes,12,no,no,0,0.7443002455278849,0.673076923076923,0.7441716525685992,252.4,119,21.45,0.801223241590214,0.40384615384615385,0.8011894647408665,0.6102941176470588,0.375,0.6103542234332426,1,5.523858042461968,4.77912349311153,3.7711504465467307,5.63906615993651,4.51085950651685,2.6108048166633746,2.5494451709255714,1.3862943611198906,1.4327007339340463
No,57,no,yes,25,0.48895124517713084,0.4423076923076923,0.48896224468743554,195.0,75,16.58,0.5462538226299694,0.6538461538461539,0.5463041631265929,0.3529411764705882,0.5,0.35149863760218,0,5.180659323079804,4.553876891600541,3.435920817720541,5.368309738368072,4.762173934797756,2.361796952625892,2.2300144001592104,1.6094379124341003,1.1755733298042381
No,72,no,yes,37,0.6404770256050508,0.3076923076923077,0.6403961213121518,217.3,102,18.47,0.3142201834862386,0.22115384615384615,0.3143585386576041,0.8235294117647056,0.75,0.8228882833787468,3,5.3981627015177525,4.394449154672439,3.648057459593681,5.035653057071544,4.276666119016055,2.064327903869788,2.7536607123542622,1.9459101490553132,1.6034198401085373
No,36,no,yes,30,0.3819712381620485,0.7692307692307693,0.38188570249638953,162.5,80,13.81,0.22438837920489296,0.5865384615384616,0.22429906542056077,0.8088235294117645,0.75,0.8092643051771118,0,4.9924713234685845,4.859812404361672,3.2530839961979376,4.869839484130799,4.700480365792417,1.9198594718553708,2.740840023925201,1.9459101490553132,1.5933085305042167
No,78,no,no,0,0.32760434935110494,0.15384615384615385,0.327625335258923,223.7,116,19.01,0.6009174311926605,0.576923076923077,0.600679694137638,0.4779411764705881,0.625,0.4768392370572208,1,4.881285622068407,4.174387269895637,3.1458749319837103,5.432848259505643,4.6913478822291435,2.4203681286504293,2.3978952727983707,1.791759469228055,1.308332819650179
No,136,yes,yes,33,0.5840056120659418,0.5576923076923078,0.5838663090571488,187.6,99,15.95,0.11888379204892968,0.5673076923076924,0.11894647408666098,0.5147058823529411,0.75,0.5149863760217983,3,5.322522055244854,4.672828834461906,3.574029612434994,4.631812116934513,4.68213122712422,1.7191887763932197,2.4423470353692043,1.9459101490553132,1.3454723665996355
No,149,no,no,0,0.3612767450017538,0.4423076923076923,0.36125438415514755,271.8,92,23.1,0.4499235474006116,0.576923076923077,0.44944774851316915,0.5588235294117646,0.5,0.5585831062670301,1,4.951592753462473,4.553876891600541,3.2136622578153133,5.243333058215277,4.6913478822291435,2.248128907197987,2.4932054526026954,2.302585092994046,1.3862943611198906
No,98,no,no,0,0.31182041388986315,0.5192307692307693,0.31173922013616673,166.8,85,14.18,0.44801223241590216,0.8365384615384616,0.4477485131690738,0.4338235294117646,0.25,0.4332425068119892,3,4.846546505563361,4.634728988229636,3.112181086197238,5.240688253711401,4.912654885736052,2.2460147415056513,2.341805806147327,1.0986122886681096,1.264126727145683
Yes,135,yes,yes,41,0.4759733426867765,0.35576923076923084,0.4759645141324531,203.9,107,17.33,0.19724770642201833,0.28846153846153844,0.19711129991503823,0.8161764705882351,0.5,0.8147138964577658,0,5.159629846774143,4.454347296253507,3.4154289639088797,4.81380905109942,4.3694478524670215,1.8718021769015913,2.747270914255491,2.772588722239781,1.597365331199831
No,34,no,no,0,0.30655910206944925,0.326923076923077,0.3065813905508562,282.2,98,23.99,0.9208715596330274,0.28846153846153844,0.9209855564995751,0.4779411764705881,0.5,0.4768392370572208,2,4.8346933442663405,4.418840607796598,3.100992784211484,5.744604469176457,4.3694478524670215,2.7093826463359885,2.3978952727983707,1.6094379124341003,1.308332819650179
No,160,no,no,0,0.16976499473868814,0.27884615384615385,0.1697957499484217,165.3,110,14.05,0.4124617737003058,0.42307692307692313,0.4120645709430756,0.4191176470588234,0.5,0.41689373297002735,3,4.463606621666305,4.356708826689592,2.7466296830696852,5.190175207928333,4.532599493153256,2.200552367428894,2.322387720290225,1.6094379124341003,1.247032293786383
No,64,no,no,0,0.4089793055068397,0.1826923076923077,0.4089127295234166,225.8,118,19.19,0.7442660550458716,0.3653846153846154,0.7442650807136787,0.0,0.375,0.0,1,5.043425116919247,4.219507705176107,3.3024814087229974,5.584623492819887,4.465908118654584,2.5603232890727545,1.5040773967762742,1.3862943611198906,0.6678293725756554
No,59,no,yes,28,0.29287969133637326,0.47115384615384615,0.29275840726222413,213.0,92,18.11,0.3535932721712538,0.6538461538461539,0.35344095157179267,0.3676470588235293,0.625,0.36784741144414174,2,4.803201036487226,4.584967478670572,3.070375816549757,5.100475998096045,4.762173934797756,2.1210632163706555,2.2512917986064953,1.791759469228055,1.1939224684724346
No,65,no,no,0,0.6099614170466503,0.6923076923076924,0.6098617701671137,162.6,122,13.82,0.24503058103975528,0.673076923076923,0.2446898895497026,0.7132352941176469,0.625,0.7111716621253408,3,5.35800036870921,4.795790545596741,3.6087534096346516,4.9104465668408235,4.77912349311153,1.9544450515051506,2.653241964607215,1.791759469228055,1.5173226235262947
No,142,no,no,0,0.5247281655559453,0.8173076923076924,0.5246544254177842,134.6,74,11.44,0.6559633027522934,0.7596153846153847,0.6559048428207307,0.2867647058823529,0.625,0.2861035422343325,2,5.236441962829949,4.897839799950911,3.4901235908565567,5.493884150092012,4.852030263919617,2.4765384001174837,2.128231705849268,1.791759469228055,1.0986122886681096
Yes,119,no,no,0,0.42686776569624696,0.6346153846153847,0.4268619764802971,231.3,117,19.66,0.27752293577981646,0.41346153846153844,0.27697536108751064,0.3897058823529411,0.375,0.38964577656675753,5,5.075798620002669,4.74493212836325,3.3339886319687055,4.971201224850849,4.5217885770490405,2.0068708488450007,2.2823823856765264,1.3862943611198906,1.2178757094949273
No,97,no,yes,24,0.33602244826376704,0.8365384615384616,0.33587786259541985,217.2,58,18.46,0.0,0.29807692307692313,0.0,0.551470588235294,0.375,0.5504087193460492,1,4.8993312245375815,4.912654885736052,3.1629401925378975,4.2710950739666,4.382026634673881,1.430311246536665,2.4849066497880004,1.3862943611198906,1.3787660946990992
No,52,no,no,0,0.5419151175026307,0.576923076923077,0.541778419641015,269.8,96,22.93,0.6353211009174312,0.375,0.6355140186915887,0.31617647058823517,0.625,0.3160762942779292,3,5.262171919911683,4.6913478822291435,3.5151211279804695,5.471429984256681,4.477336814478207,2.4561641809223462,2.174751721484161,1.791759469228055,1.1346227261911428
No,60,no,no,0,0.6425815503332164,0.08653846153846156,0.642459253146276,211.1,115,17.94,0.6819571865443425,0.7788461538461539,0.6822429906542057,0.24264705882352933,0.375,0.2425068119891009,1,5.400873954873129,4.060443010546419,3.6506582412937387,5.521460917862246,4.867534450455582,2.502255288122613,2.0541237336955462,1.3862943611198906,1.0438040521731147
No,10,no,no,0,0.5215713784636969,0.6153846153846155,0.521559727666598,190.2,66,16.17,0.8111620795107034,0.08653846153846156,0.8113848768054376,0.5808823529411764,0.75,0.5803814713896458,2,5.231643233280044,4.727387818712341,3.4855385300959063,5.648269764725942,4.060443010546419,2.6195832197798796,2.517696472610991,1.9459101490553132,1.4060969884160703
No,96,no,no,0,0.430726061031217,0.6634615384615384,0.4305756137817207,267.5,67,22.74,0.6035932721712538,0.1923076923076923,0.6032285471537807,0.42647058823529405,0.625,0.4250681198910082,2,5.0826458300725275,4.770684624465665,3.340385242265398,5.4359030295006,4.23410650459726,2.423031246069913,2.33214389523559,1.791759469228055,1.2556160374777745
Yes,87,no,no,0,0.3984566818660119,0.33653846153846156,0.3983907571693832,219.7,116,18.67,0.5095565749235473,0.7596153846153847,0.5097706032285471,0.4558823529411763,0.375,0.455040871934605,5,5.0238805208462765,4.430816798843313,3.283539338193923,5.322522055244854,4.852030263919617,2.3204250111223765,2.3702437414678603,1.3862943611198906,1.2864740258376797
No,81,no,no,0,0.4843914415994388,0.1826923076923077,0.4844233546523623,249.3,85,21.19,0.7629969418960244,0.48076923076923084,0.7629566694987256,0.4926470588235292,0.375,0.49046321525885567,1,5.173320876373351,4.219507705176107,3.4288125486951286,5.60285655606624,4.59511985013459,2.5771819258971713,2.4159137783010487,1.3862943611198906,1.3217558399823195
No,141,no,no,0,0.3139249386180287,0.48076923076923084,0.31380235197029094,180.0,62,15.3,0.268348623853211,0.7692307692307693,0.2684791843670348,0.3308823529411764,0.25,0.3297002724795642,1,4.851248708584797,4.59511985013459,3.1166215908294443,4.954417614098027,4.859812404361672,1.9933388426264242,2.1972245773362196,1.0986122886681096,1.1505720275988207
Yes,121,no,yes,30,0.5647141353910908,0.7788461538461539,0.5646791829997937,75.3,77,6.4,0.4227828746177369,0.27884615384615385,0.42225998300764656,0.16911764705882348,0.375,0.16893732970027253,3,5.295312857527738,4.867534450455582,3.5476038667559826,5.205104984825858,4.356708826689592,2.21375387928743,1.916922612182061,1.3862943611198906,0.9439058989071285
No,68,no,no,0,0.39074009119607156,0.21153846153846156,0.39075716938312366,246.5,164,20.95,0.2262996941896025,0.5288461538461539,0.22599830076465588,0.6323529411764705,0.375,0.6321525885558583,3,5.009301071083119,4.2626798770413155,3.269568939183719,4.873669439023098,4.6443908991413725,1.922787731634459,2.5726122302071057,1.3862943611198906,1.4516138272405332
No,125,no,no,0,0.673097158891617,0.5288461538461539,0.6729936042913142,177.4,126,15.08,0.45374617737003053,0.451923076923077,0.45369583687340687,0.6249999999999999,1.0,0.6239782016348776,1,5.439382806826639,4.6443908991413725,3.6883793290722537,5.248601774302104,4.564348191467836,2.253394848803274,2.5649493574615367,2.1972245773362196,1.4445632692438664
No,174,no,no,0,0.5426166257453525,0.47115384615384615,0.5426036723746647,169.9,94,14.44,0.3669724770642201,0.05769230769230771,0.36703483432455397,0.5808823529411764,0.5,0.5803814713896458,1,5.263208189434469,4.584967478670572,3.51631018876266,5.121580188047982,4.007333185232471,2.1400661634962708,2.517696472610991,1.6094379124341003,1.4060969884160703
No,116,no,yes,34,0.8109435285864609,0.33653846153846156,0.8108108108108107,178.2,142,15.15,0.36582568807339455,0.5576923076923078,0.36533559898045886,0.5955882352941175,0.375,0.5940054495912808,2,5.596939379038152,4.430816798843313,3.8428872665932836,5.119788607992779,4.672828834461906,2.1377104498038118,2.533696813957432,1.3862943611198906,1.4182774069729414
No,74,no,yes,33,0.5482286916871273,0.41346153846153844,0.5481741283268001,246.1,96,20.92,0.2576452599388379,0.42307692307692313,0.2574341546304163,0.8161764705882351,0.375,0.8147138964577658,2,5.271459912378154,4.5217885770490405,3.5242995787961386,4.9344739331306915,4.532599493153256,1.9754689512968577,2.747270914255491,1.3862943611198906,1.597365331199831
No,149,no,yes,28,0.5026306559102068,0.42307692307692313,0.5025789147926553,187.8,64,15.96,0.7450305810397552,0.04807692307692313,0.7451146983857263,0.6691176470588234,0.375,0.667574931880109,3,5.202356975402125,4.532599493153256,3.456947396766647,5.585374243605899,3.9889840465642745,2.5610957881455465,2.6100697927420065,1.3862943611198906,1.4816045409242156
No,38,no,no,0,0.32900736583654855,0.48076923076923084,0.3288632143593976,162.9,97,13.85,0.3379204892966361,0.5576923076923078,0.33729821580288877,0.34558823529411753,0.75,0.34332425068119893,2,4.884315927417586,4.59511985013459,3.148453360571655,5.075173815233827,4.672828834461906,2.0980179272527715,2.2192034840549946,1.9459101490553132,1.1662709371419244
No,40,no,yes,41,0.3882848123465451,0.25,0.38828141118217463,169.5,88,14.41,0.5485474006116207,0.5192307692307693,0.5480033984706882,0.19852941176470584,0.625,0.19618528610354224,2,5.004617221770693,4.31748811353631,3.264995760481754,5.371103036273684,4.634728988229636,2.363680192353857,1.9740810260220096,1.791759469228055,0.9820784724121581
No,43,yes,no,0,0.7509645738337425,0.548076923076923,0.750979987621209,212.8,104,18.09,0.33333333333333337,0.1826923076923077,0.3330501274426507,0.42647058823529405,0.5,0.4250681198910082,0,5.531411248715415,4.663439094112067,3.7787201581137255,5.067645548813036,4.219507705176107,2.0918640616783932,2.33214389523559,1.6094379124341003,1.2556160374777745
No,113,yes,no,0,0.30796211855489297,0.4326923076923077,0.3078192696513308,206.4,119,17.54,0.22438837920489296,0.8750000000000001,0.22429906542056077,0.3529411764705882,1.0,0.35149863760218,0,4.837867950107113,4.543294782270004,3.1036894150590832,4.869839484130799,4.941642422609304,1.9198594718553708,2.2300144001592104,2.1972245773362196,1.1755733298042381
No,126,no,no,0,0.611013679410733,0.21153846153846156,0.6108933360841758,216.9,80,18.44,0.3168960244648318,0.11538461538461542,0.3169073916737468,0.31617647058823517,0.125,0.3160762942779292,1,5.359412465907847,4.2626798770413155,3.6101067729485403,5.0401940963378005,4.110873864173311,2.0681277817795625,2.174751721484161,0.6931471805599453,1.1346227261911428
Yes,150,no,no,0,0.4963170817257103,0.5096153846153847,0.4961832061068703,169.1,110,14.37,0.2981651376146789,0.5,0.2982158028887001,0.7573529411764706,0.375,0.7574931880108993,4,5.192401140956488,4.624972813284271,3.447126313550555,5.007965065540377,4.61512051684126,2.0399207835175526,2.6946271807700692,1.3862943611198906,1.5539252025038417
No,138,no,no,0,0.7169414240617328,0.4326923076923077,0.7169383123581597,170.5,83,14.49,0.8589449541284403,0.5384615384615384,0.8589634664401019,0.6102941176470588,0.875,0.6103542234332426,3,5.492238059185343,4.543294782270004,3.7402852421738366,5.691372454579519,4.653960350157523,2.659559991941776,2.5494451709255714,2.0794415416798357,1.4327007339340463
No,162,no,yes,46,0.6576639775517362,0.47115384615384615,0.6575201155353827,188.2,84,16.0,0.7033639143730885,0.125,0.7034834324553951,0.6323529411764705,0.25,0.6321525885558583,0,5.420092423473958,4.584967478670572,3.6694417602214613,5.5436137225033795,4.127134385045092,2.522523513359307,2.5726122302071057,1.0986122886681096,1.4516138272405332
No,147,no,no,0,0.7407927043142757,0.33653846153846156,0.740664328450588,148.9,85,12.66,0.38952599388379205,0.5865384615384616,0.3891248937977909,0.3308823529411764,0.5,0.3297002724795642,3,5.519859636495273,4.430816798843313,3.767228420524913,5.156177599386914,4.700480365792417,2.1701959049483,2.1972245773362196,1.6094379124341003,1.1505720275988207
No,90,no,no,0,0.5822518414591371,0.9423076923076924,0.5822158035898494,226.7,117,19.27,0.31269113149847094,0.548076923076923,0.3126593033135089,0.27941176470588225,0.5,0.27792915531335155,1,5.320078858329549,4.990432586778736,3.571783682237689,5.0330488889331555,4.663439094112067,2.061786606441115,2.1162555148025524,1.6094379124341003,1.0885619528146082
No,85,no,no,0,0.6958961767800772,0.5865384615384616,0.6958943676500929,157.2,94,13.36,0.4495412844036696,0.4903846153846154,0.44944774851316915,0.6249999999999999,0.375,0.6239782016348776,0,5.46721590300985,4.700480365792417,3.7157647828953184,5.2428046566177775,4.605170185988092,2.248128907197987,2.5649493574615367,1.3862943611198906,1.4445632692438664
No,50,no,no,0,0.41985268326902836,0.40384615384615385,0.41984732824427484,223.3,72,18.98,0.4235474006116208,0.6057692307692307,0.42310960067969416,0.19117647058823523,0.25,0.19073569482288832,1,5.0632277442154265,4.51085950651685,3.321793358874887,5.206202077640231,4.718498871295094,2.214846178686039,1.9600947840472698,1.0986122886681096,0.9745596399981308
Yes,82,no,no,0,0.9221325850578744,0.5865384615384616,0.9220136166701052,181.0,100,15.39,0.7626146788990825,0.24038461538461542,0.762107051826678,0.6029411764705881,0.5,0.6021798365122617,0,5.708106446136256,4.700480365792417,3.952204795060978,5.60248775650462,4.304065093204169,2.5764217586237734,2.5416019934645457,1.6094379124341003,1.425515074273172
