churn,accountlength,internationalplan,voicemailplan,numbervmailmessages,total_dayminutos,total_daycalls,total_daycharge,total_eveminutos,total_evecalls,total_evecharge,total_nightminutos,total_nightcalls,total_nightcharge,total_intlminutos,total_intlcalls,total_intlcharge,numbercustomerservicecalls,accountlength_log,numbervmailmessages_log,total_dayminutos_log,total_daycalls_log,total_daycharge_log,total_eveminutos_log,total_evecalls_log,total_evecharge_log,total_nightminutos_log,total_nightcalls_log,total_nightcharge_log,total_intlminutos_log,total_intlcalls_log,total_intlcharge_log,numbercustomerservicecalls_log
No,111.0,no,no,0.0,110.4,103.0,18.77,137.3,102.0,11.67,189.6,105.0,8.53,7.7,6.0,2.08,2.0,4.718498871295094,0.0,4.713127327493184,4.6443908991413725,2.9841656371825254,4.929425238670713,4.634728988229636,2.5392369943330477,5.250176991220101,4.663439094112067,2.254444717666111,2.1633230256605382,1.9459101490553132,1.1249295969854831,1.0986122886681096
No,132.0,no,no,0.0,81.1,86.0,13.79,245.2,72.0,20.84,237.0,115.0,10.67,10.3,2.0,2.78,0.0,4.890349128221754,0.0,4.407938016458383,4.465908118654584,2.6939512767227085,5.506144213750353,4.290459441148391,3.083743150876704,5.472270673671475,4.7535901911063645,2.4570214462984645,2.424802725718295,1.0986122886681096,1.3297240096314962,0.0
No,174.0,no,no,0.0,124.3,76.0,21.13,277.1,112.0,23.55,250.7,115.0,11.28,15.5,5.0,4.19,3.0,5.1647859739235145,0.0,4.8307108619020225,4.343805421853684,3.096934154062958,5.627980761239919,4.727387818712341,3.2007118542405295,5.52823790214127,4.7535901911063645,2.5079719227189963,2.803360380906535,1.791759469228055,1.6467336971777973,1.3862943611198906
No,57.0,no,yes,39.0,213.0,115.0,36.21,191.1,112.0,16.24,182.7,115.0,8.22,9.5,3.0,2.57,0.0,4.060443010546419,3.6888794541139363,5.365976015021851,4.7535901911063645,3.6165775423585313,5.258016069774511,4.727387818712341,2.847232265235547,5.21330399222108,4.7535901911063645,2.2213750375685026,2.3513752571634776,1.3862943611198906,1.2725655957915476,0.0
No,54.0,no,no,0.0,134.3,73.0,22.83,155.5,100.0,13.22,102.1,68.0,4.59,14.7,4.0,3.97,3.0,4.007333185232471,0.0,4.907494535176743,4.304065093204169,3.170945291110651,5.0530560099802075,4.61512051684126,2.6546494243750947,4.635699391022914,4.23410650459726,1.7209792871670078,2.7536607123542622,1.6094379124341003,1.6034198401085373,1.3862943611198906
No,20.0,no,no,0.0,190.0,109.0,32.3,258.2,84.0,21.95,181.5,102.0,8.17,6.3,6.0,1.7,0.0,3.044522437723423,0.0,5.25227342804663,4.700480365792417,3.505557396986398,5.557599964478119,4.442651256490317,3.133317936506554,5.206750173022546,4.634728988229636,2.2159372862683733,1.9878743481543455,1.9459101490553132,0.9932517730102834,0.0
No,49.0,no,no,0.0,119.3,117.0,20.28,215.1,109.0,18.28,178.7,90.0,8.04,11.1,1.0,3.0,1.0,3.912023005428146,0.0,4.789988622980633,4.770684624465665,3.0577676644734435,5.3757412635128405,4.700480365792417,2.9590682891823996,5.191288793789513,4.51085950651685,2.201659174404085,2.4932054526026954,0.6931471805599453,1.3862943611198906,0.6931471805599453
No,142.0,no,no,0.0,84.8,95.0,14.42,136.7,63.0,11.62,250.5,148.0,11.27,14.2,6.0,3.83,2.0,4.962844630259907,0.0,4.4520190064939165,4.564348191467836,2.7356653681351832,4.925077405734609,4.1588830833596715,2.5352828571130672,5.527442989539794,5.003946305945459,2.50715725872282,2.7212954278522306,1.9459101490553132,1.5748464676644813,1.0986122886681096
No,75.0,no,no,0.0,226.1,105.0,38.44,201.5,107.0,17.13,246.2,98.0,11.08,10.3,5.0,2.78,1.0,4.330733340286331,0.0,5.425390449111513,4.663439094112067,3.6747805297344347,5.310739886546594,4.68213122712422,2.8975680247667595,5.510197725583535,4.59511985013459,2.4915511925066687,2.424802725718295,1.791759469228055,1.3297240096314962,0.6931471805599453
No,172.0,no,no,0.0,212.0,121.0,36.04,200.63656,115.0,17.054322,293.3,78.0,13.2,12.6,10.0,3.4,3.0,5.153291594497779,0.0,5.3612921657094255,4.804021044733257,3.6119984097779785,3.4719664525503626,4.7535901911063645,1.2947271675944,5.684599655239428,4.3694478524670215,2.653241964607215,2.6100697927420065,2.3978952727983707,1.4816045409242156,1.3862943611198906
Yes,12.0,no,no,0.0,249.6,118.0,42.43,252.4,119.0,21.45,280.2,90.0,12.61,11.8,3.0,3.19,1.0,2.5649493574615367,0.0,5.523858042461968,4.77912349311153,3.7711504465467307,5.534969267887039,4.787491742782046,3.1112906141882632,5.63906615993651,4.51085950651685,2.6108048166633746,2.5494451709255714,1.3862943611198906,1.4327007339340463,0.6931471805599453
No,57.0,no,yes,25.0,176.8,94.0,30.06,195.0,75.0,16.58,213.5,116.0,9.61,8.3,4.0,2.24,0.0,4.060443010546419,3.258096538021482,5.180659323079804,4.553876891600541,3.435920817720541,5.278114659230518,4.330733340286331,2.866761892257031,5.368309738368072,4.762173934797756,2.361796952625892,2.2300144001592104,1.6094379124341003,1.1755733298042381,0.0
No,72.0,no,yes,37.0,220.0,80.0,37.4,217.3,102.0,18.47,152.8,71.0,6.88,14.7,6.0,3.97,3.0,4.290459441148391,3.6375861597263857,5.3981627015177525,4.394449154672439,3.648057459593681,5.385870263555899,4.634728988229636,2.968874819384108,5.035653057071544,4.276666119016055,2.064327903869788,2.7536607123542622,1.9459101490553132,1.6034198401085373,1.3862943611198906
No,36.0,no,yes,30.0,146.3,128.0,24.87,162.5,80.0,13.81,129.3,109.0,5.82,14.5,6.0,3.92,0.0,3.6109179126442243,3.4339872044851463,4.9924713234685845,4.859812404361672,3.2530839961979376,5.096812990337308,4.394449154672439,2.6953026282797072,4.869839484130799,4.700480365792417,1.9198594718553708,2.740840023925201,1.9459101490553132,1.5933085305042167,0.0
No,78.0,no,no,0.0,130.8,64.0,22.24,223.7,116.0,19.01,227.8,108.0,10.25,10.0,5.0,2.7,1.0,4.3694478524670215,0.0,4.881285622068407,4.174387269895637,3.1458749319837103,5.414766179191283,4.762173934797756,2.996232148595642,5.432848259505643,4.6913478822291435,2.4203681286504293,2.3978952727983707,1.791759469228055,1.308332819650179,0.6931471805599453
No,136.0,yes,yes,33.0,203.9,106.0,34.66,187.6,99.0,15.95,101.7,107.0,4.58,10.5,6.0,2.84,3.0,4.919980925828125,3.5263605246161616,5.322522055244854,4.672828834461906,3.574029612434994,5.239628370199357,4.605170185988092,2.830267833826459,4.631812116934513,4.68213122712422,1.7191887763932197,2.4423470353692043,1.9459101490553132,1.3454723665996355,1.3862943611198906
No,149.0,no,no,0.0,140.4,94.0,23.87,271.8,92.0,23.1,188.3,108.0,8.47,11.1,9.0,3.0,1.0,5.0106352940962555,0.0,4.951592753462473,4.553876891600541,3.2136622578153133,5.608738925969307,4.532599493153256,3.1822118404966093,5.243333058215277,4.6913478822291435,2.248128907197987,2.4932054526026954,2.302585092994046,1.3862943611198906,0.6931471805599453
No,98.0,no,no,0.0,126.3,102.0,21.47,166.8,85.0,14.18,187.8,135.0,8.45,9.4,2.0,2.54,3.0,4.59511985013459,0.0,4.846546505563361,4.634728988229636,3.112181086197238,5.122772794033106,4.454347296253507,2.719978771967484,5.240688253711401,4.912654885736052,2.2460147415056513,2.341805806147327,1.0986122886681096,1.264126727145683,1.3862943611198906
Yes,135.0,yes,yes,41.0,173.1,85.0,29.43,203.9,107.0,17.33,122.2,78.0,5.5,14.6,4.4352,3.94,0.0,4.912654885736052,3.7376696182833684,5.159629846774143,4.454347296253507,3.4154289639088797,5.322522055244854,4.68213122712422,2.9085390618516134,4.81380905109942,4.3694478524670215,1.8718021769015913,2.747270914255491,2.772588722239781,1.597365331199831,0.0
No,34.0,no,no,0.0,124.8,82.0,21.22,282.2,98.0,23.99,311.5,78.0,14.02,10.0,4.0,2.7,2.0,3.5553480614894135,0.0,4.8346933442663405,4.418840607796598,3.100992784211484,5.6461533618195645,4.59511985013459,3.218475744846861,5.744604469176457,4.3694478524670215,2.7093826463359885,2.3978952727983707,1.6094379124341003,1.308332819650179,1.0986122886681096
No,160.0,no,no,0.0,85.8,77.0,14.59,165.3,110.0,14.05,178.5,92.0,8.03,9.2,4.0,2.48,3.0,5.081404364984463,0.0,4.463606621666305,4.356708826689592,2.7466296830696852,5.113793386198882,4.709530201312334,2.711377991194885,5.190175207928333,4.532599493153256,2.200552367428894,2.322387720290225,1.6094379124341003,1.247032293786383,1.3862943611198906
No,64.0,no,no,0.0,154.0,67.0,26.18,225.8,118.0,19.19,265.3,86.0,11.94,3.5,3.0,0.95,1.0,4.174387269895637,0.0,5.043425116919247,4.219507705176107,3.3024814087229974,5.4240685718535975,4.77912349311153,3.005187432324746,5.584623492819887,4.465908118654584,2.5603232890727545,1.5040773967762742,1.3862943611198906,0.6678293725756554,0.6931471805599453
No,59.0,no,yes,28.0,120.9,97.0,20.55,213.0,92.0,18.11,163.1,116.0,7.34,8.5,5.0,2.3,2.0,4.0943445622221,3.367295829986474,4.803201036487226,4.584967478670572,3.070375816549757,5.365976015021851,4.532599493153256,2.9502117582521814,5.100475998096045,4.762173934797756,2.1210632163706555,2.2512917986064953,1.791759469228055,1.1939224684724346,1.0986122886681096
No,65.0,no,no,0.0,211.3,120.0,35.92,162.6,122.0,13.82,134.7,118.0,6.06,13.2,5.0,3.56,3.0,4.189654742026425,0.0,5.35800036870921,4.795790545596741,3.6087534096346516,5.097424424168647,4.812184355372417,2.695977619867941,4.9104465668408235,4.77912349311153,1.9544450515051506,2.653241964607215,1.791759469228055,1.5173226235262947,1.3862943611198906
No,142.0,no,no,0.0,187.0,133.0,31.79,134.6,74.0,11.44,242.2,127.0,10.9,7.4,5.0,2.0,2.0,4.962844630259907,0.0,5.236441962829949,4.897839799950911,3.4901235908565567,4.909709375506295,4.31748811353631,2.5209170873110334,5.493884150092012,4.852030263919617,2.4765384001174837,2.128231705849268,1.791759469228055,1.0986122886681096,1.0986122886681096
Yes,119.0,no,no,0.0,159.1,114.0,27.05,231.3,117.0,19.66,143.2,91.0,6.44,8.8,3.0,2.38,5.0,4.787491742782046,0.0,5.075798620002669,4.74493212836325,3.3339886319687055,5.4480296397763635,4.770684624465665,3.0281994636914926,4.971201224850849,4.5217885770490405,2.0068708488450007,2.2823823856765264,1.3862943611198906,1.2178757094949273,1.791759469228055
No,97.0,no,yes,24.0,133.2,135.0,22.64,217.2,58.0,18.46,70.6,79.0,3.18,11.0,3.0,2.97,1.0,4.584967478670572,3.2188758248682006,4.8993312245375815,4.912654885736052,3.1629401925378975,5.38541207339897,4.07753744390572,2.968361076757859,4.2710950739666,4.382026634673881,1.430311246536665,2.4849066497880004,1.3862943611198906,1.3787660946990992,0.6931471805599453
No,52.0,no,no,0.0,191.9,108.0,32.62,269.8,96.0,22.93,236.8,87.0,10.66,7.8,5.0,2.11,3.0,3.970291913552122,0.0,5.262171919911683,4.6913478822291435,3.5151211279804695,5.60138054103812,4.574710978503383,3.175132901920282,5.471429984256681,4.477336814478207,2.4561641809223462,2.174751721484161,1.791759469228055,1.1346227261911428,1.3862943611198906
No,60.0,no,no,0.0,220.6,57.0,37.5,211.1,115.0,17.94,249.0,129.0,11.21,6.8,3.0,1.84,1.0,4.110873864173311,0.0,5.400873954873129,4.060443010546419,3.6506582412937387,5.357057861570636,4.7535901911063645,2.9412760877579323,5.521460917862246,4.867534450455582,2.502255288122613,2.0541237336955462,1.3862943611198906,1.0438040521731147,0.6931471805599453
No,10.0,no,no,0.0,186.1,112.0,31.64,190.2,66.0,16.17,282.8,57.0,12.73,11.4,6.0,3.08,2.0,2.3978952727983707,0.0,5.231643233280044,4.727387818712341,3.4855385300959063,5.2533200006173,4.204692619390966,2.843163674909384,5.648269764725942,4.060443010546419,2.6195832197798796,2.517696472610991,1.9459101490553132,1.4060969884160703,1.0986122886681096
No,96.0,no,no,0.0,160.2,117.0,27.23,267.5,67.0,22.74,228.5,68.0,10.28,9.3,5.0,2.51,2.0,4.574710978503383,0.0,5.0826458300725275,4.770684624465665,3.340385242265398,5.5928509139489195,4.219507705176107,3.167161389181522,5.4359030295006,4.23410650459726,2.423031246069913,2.33214389523559,1.791759469228055,1.2556160374777745,1.0986122886681096
Yes,87.0,no,no,0.0,151.0,83.0,25.67,219.7,116.0,18.67,203.9,127.0,9.18,9.7,3.0,2.62,5.0,4.477336814478207,0.0,5.0238805208462765,4.430816798843313,3.283539338193923,5.396804313262691,4.762173934797756,2.979094632400968,5.322522055244854,4.852030263919617,2.3204250111223765,2.3702437414678603,1.3862943611198906,1.2864740258376797,1.791759469228055
No,81.0,no,no,0.0,175.5,67.0,29.84,249.3,85.0,21.19,270.2,98.0,12.16,10.2,3.0,2.75,1.0,4.406719247264253,0.0,5.173320876373351,4.219507705176107,3.4288125486951286,5.522660198437729,4.454347296253507,3.099641736944503,5.60285655606624,4.59511985013459,2.5771819258971713,2.4159137783010487,1.3862943611198906,1.3217558399823195,0.6931471805599453
No,141.0,no,no,0.0,126.9,98.0,21.57,180.0,62.0,15.3,140.8,128.0,6.34,8.0,2.0,2.16,1.0,4.955827057601261,0.0,4.851248708584797,4.59511985013459,3.1166215908294443,5.198497031265826,4.143134726391533,2.791165107812717,4.954417614098027,4.859812404361672,1.9933388426264242,2.1972245773362196,1.0986122886681096,1.1505720275988207,0.6931471805599453
Yes,121.0,no,yes,30.0,198.4,129.0,33.73,75.3,77.0,6.4,181.2,77.0,8.15,5.8,3.0,1.57,3.0,4.804021044733257,3.4339872044851463,5.295312857527738,4.867534450455582,3.5476038667559826,4.334672938290411,4.356708826689592,2.0014800002101243,5.205104984825858,4.356708826689592,2.21375387928743,1.916922612182061,1.3862943611198906,0.9439058989071285,1.3862943611198906
No,68.0,no,no,0.0,148.8,70.0,25.3,246.5,100.191,20.95,129.8,103.0,5.84,12.1,3.0,3.27,3.0,4.23410650459726,0.0,5.009301071083119,4.2626798770413155,3.269568939183719,5.511410582008745,5.10594547390058,3.08876713952118,4.873669439023098,4.6443908991413725,1.922787731634459,2.5726122302071057,1.3862943611198906,1.4516138272405332,1.3862943611198906
No,125.0,no,no,0.0,229.3,103.0,38.98,177.4,126.0,15.08,189.3,95.0,8.52,12.0,8.0,3.24,1.0,4.836281906951478,0.0,5.439382806826639,4.6443908991413725,3.6883793290722537,5.184028220145909,4.844187086458591,2.77757626375082,5.248601774302104,4.564348191467836,2.253394848803274,2.5649493574615367,2.1972245773362196,1.4445632692438664,0.6931471805599453
No,174.0,no,no,0.0,192.1,97.0,32.66,169.9,94.0,14.44,166.6,54.0,7.5,11.4,4.0,3.08,1.0,5.1647859739235145,0.0,5.263208189434469,4.584967478670572,3.51631018876266,5.141078590121545,4.553876891600541,2.73696154459663,5.121580188047982,4.007333185232471,2.1400661634962708,2.517696472610991,1.6094379124341003,1.4060969884160703,0.6931471805599453
No,116.0,no,yes,34.0,268.6,83.0,45.66,178.2,142.0,15.15,166.3,106.0,7.48,11.6,3.0,3.13,2.0,4.762173934797756,3.5553480614894135,5.596939379038152,4.430816798843313,3.8428872665932836,5.18850250054083,4.962844630259907,2.7819200496686656,5.119788607992779,4.672828834461906,2.1377104498038118,2.533696813957432,1.3862943611198906,1.4182774069729414,1.0986122886681096
No,74.0,no,yes,33.0,193.7,91.0,32.93,246.1,96.0,20.92,138.0,92.0,6.21,14.6,3.0,3.94,2.0,4.31748811353631,3.5263605246161616,5.271459912378154,4.5217885770490405,3.5242995787961386,5.509793112994564,4.574710978503383,3.087399462079815,4.9344739331306915,4.532599493153256,1.9754689512968577,2.747270914255491,1.3862943611198906,1.597365331199831,1.0986122886681096
No,149.0,no,yes,28.0,180.7,92.0,30.72,187.8,64.0,15.96,265.5,53.0,11.95,12.6,3.0,3.4,3.0,5.0106352940962555,3.367295829986474,5.202356975402125,4.532599493153256,3.456947396766647,5.240688253711401,4.174387269895637,2.830857630363757,5.585374243605899,3.9889840465642745,2.5610957881455465,2.6100697927420065,1.3862943611198906,1.4816045409242156,1.3862943611198906
No,38.0,no,no,0.0,131.2,98.0,22.3,162.9,97.0,13.85,159.0,106.0,7.15,8.2,6.0,2.21,2.0,3.6635616461296463,0.0,4.884315927417586,4.59511985013459,3.148453360571655,5.099256485749784,4.584967478670572,2.6979998652487085,5.075173815233827,4.672828834461906,2.0980179272527715,2.2192034840549946,1.9459101490553132,1.1662709371419244,1.0986122886681096
No,40.0,no,yes,41.0,148.1,74.0,25.18,169.5,88.0,14.41,214.1,102.0,9.63,6.2,5.0,1.67,2.0,3.713572066704308,3.7376696182833684,5.004617221770693,4.31748811353631,3.264995760481754,5.1387352967235715,4.48863636973214,2.7350166493320245,5.371103036273684,4.634728988229636,2.363680192353857,1.9740810260220096,1.791759469228055,0.9820784724121581,1.0986122886681096
No,43.0,yes,no,0.0,251.5,105.0,42.76,212.8,104.0,18.09,157.8,67.0,7.1,9.3,4.0,2.51,0.0,3.784189633918261,0.0,5.531411248715415,4.663439094112067,3.7787201581137255,5.365040998590945,4.653960350157523,2.949164637737656,5.067645548813036,4.219507705176107,2.0918640616783932,2.33214389523559,1.6094379124341003,1.2556160374777745,0.0
No,113.0,yes,no,0.0,125.2,93.0,21.28,206.4,119.0,17.54,129.3,139.0,5.82,8.3,8.0,2.24,0.0,4.736198448394496,0.0,4.837867950107113,4.543294782270004,3.1036894150590832,5.334649295795427,4.787491742782046,2.919930560137709,4.869839484130799,4.941642422609304,1.9198594718553708,2.2300144001592104,2.1972245773362196,1.1755733298042381,0.0
No,126.0,no,no,0.0,211.6,70.0,35.97,216.9,80.0,18.44,153.5,60.0,6.91,7.8,1.0,2.11,1.0,4.844187086458591,0.0,5.359412465907847,4.2626798770413155,3.6101067729485403,5.384036241950574,4.394449154672439,2.967332799032293,5.0401940963378005,4.110873864173311,2.0681277817795625,2.174751721484161,0.6931471805599453,1.1346227261911428,0.6931471805599453
Yes,150.0,no,no,0.0,178.9,101.0,30.41,169.1,110.0,14.37,148.6,100.0,6.69,13.8,3.0,3.73,4.0,5.017279836814924,0.0,5.192401140956488,4.624972813284271,3.447126313550555,5.136386499401816,4.709530201312334,2.7324175575505043,5.007965065540377,4.61512051684126,2.0399207835175526,2.6946271807700692,1.3862943611198906,1.5539252025038417,1.6094379124341003
No,138.0,no,no,0.0,241.8,93.0,41.11,170.5,83.0,14.49,295.3,104.0,13.29,11.8,7.0,3.19,3.0,4.9344739331306915,0.0,5.492238059185343,4.543294782270004,3.7402852421738366,5.144583266605995,4.430816798843313,2.740194654428777,5.691372454579519,4.653960350157523,2.659559991941776,2.5494451709255714,2.0794415416798357,1.4327007339340463,1.3862943611198906
